created_at,user_id
2023-01-01 00:00:00.000000000,7084
2023-01-01 01:13:14.239198497,1486
2023-01-01 02:26:28.478396994,6565
2023-01-01 03:39:42.717595491,9499
2023-01-01 04:52:56.956793988,3472
2023-01-01 06:06:11.195992485,1538
2023-01-01 07:19:25.435190983,7077
2023-01-01 08:32:39.674389480,8082
2023-01-01 09:45:53.913587977,5690
2023-01-01 10:59:08.152786474,2342
2023-01-01 12:12:22.391984971,2706
2023-01-01 13:25:36.631183469,8362
2023-01-01 14:38:50.870381966,6802
2023-01-01 15:52:05.109580463,3696
2023-01-01 17:05:19.348778960,5917
2023-01-01 18:18:33.587977457,3582
2023-01-01 19:31:47.827175954,7722
2023-01-01 20:45:02.066374452,7643
2023-01-01 21:58:16.305572949,5027
2023-01-01 23:11:30.544771446,7703
2023-01-02 00:24:44.783969943,6295
2023-01-02 01:37:59.023168440,7753
2023-01-02 02:51:13.262366938,8288
2023-01-02 04:04:27.501565435,1812
2023-01-02 05:17:41.740763932,4993
2023-01-02 06:30:55.979962429,5893
2023-01-02 07:44:10.219160926,6862
2023-01-02 08:57:24.458359423,2970
2023-01-02 10:10:38.697557921,8502
2023-01-02 11:23:52.936756418,7086
2023-01-02 12:37:07.175954915,1602
2023-01-02 13:50:21.415153412,3713
2023-01-02 15:03:35.654351909,7895
2023-01-02 16:16:49.893550407,2349
2023-01-02 17:30:04.132748904,2101
2023-01-02 18:43:18.371947401,6832
2023-01-02 19:56:32.611145898,7508
2023-01-02 21:09:46.850344395,9020
2023-01-02 22:23:01.089542892,9778
2023-01-02 23:36:15.328741390,7435
2023-01-03 00:49:29.567939887,3739
2023-01-03 02:02:43.807138384,9427
2023-01-03 03:15:58.046336881,4786
2023-01-03 04:29:12.285535378,7816
2023-01-03 05:42:26.524733876,658
2023-01-03 06:55:40.763932373,7995
2023-01-03 08:08:55.003130870,3239
2023-01-03 09:22:09.242329367,7101
2023-01-03 10:35:23.481527864,7090
