"batch_id","event_type","payload","batch_created_at"
"scheduled__2025-04-20T18:20:00+00:00","store_event","{""created_at"": ""2025-04-20 18:27:00"", ""name"": ""EQYnXEBqbW"", ""tax_id"": 787294779178, ""status"": ""active""}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","store_event","{""created_at"": ""2025-04-20 18:58:00"", ""name"": ""uAANCu"", ""tax_id"": 759741546238, ""status"": ""active""}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","product_event","{""created_at"": ""2025-04-20 18:38:00"", ""name"": ""uQqikDpb"", ""price"": 440.16}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","product_event","{""created_at"": ""2025-04-20 18:53:00"", ""name"": ""zcTda"", ""price"": 29.18}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:58:00"", ""user_id"": 4412}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:53:00"", ""user_id"": 3341}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:39:00"", ""user_id"": 2721}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:59:00"", ""user_id"": 1315}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:54:00"", ""user_id"": 8720}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:32:00"", ""user_id"": 6924}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 19:14:00"", ""user_id"": 2498}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 19:04:00"", ""user_id"": 3941}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:33:00"", ""user_id"": 9249}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","order_event","{""created_at"": ""2025-04-20 18:51:00"", ""user_id"": 2183}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:10:01"", ""order_id"": 9693, ""store_id"": 59, ""product_id"": 151, ""quantity"": 8}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:52:01"", ""order_id"": 9693, ""store_id"": 76, ""product_id"": 38, ""quantity"": 9}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:27:01"", ""order_id"": 9693, ""store_id"": 7, ""product_id"": 133, ""quantity"": 3}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:15:01"", ""order_id"": 12292, ""store_id"": 77, ""product_id"": 670, ""quantity"": 6}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:32:01"", ""order_id"": 13035, ""store_id"": 86, ""product_id"": 889, ""quantity"": 5}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:11:01"", ""order_id"": 13035, ""store_id"": 62, ""product_id"": 194, ""quantity"": 9}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:55:01"", ""order_id"": 1274, ""store_id"": 113, ""product_id"": 610, ""quantity"": 7}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:41:01"", ""order_id"": 1274, ""store_id"": 14, ""product_id"": 327, ""quantity"": 3}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:08:01"", ""order_id"": 11328, ""store_id"": 71, ""product_id"": 768, ""quantity"": 8}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:51:01"", ""order_id"": 11328, ""store_id"": 12, ""product_id"": 849, ""quantity"": 3}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:21:01"", ""order_id"": 10007, ""store_id"": 111, ""product_id"": 912, ""quantity"": 5}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:36:01"", ""order_id"": 10010, ""store_id"": 43, ""product_id"": 835, ""quantity"": 7}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:31:01"", ""order_id"": 14261, ""store_id"": 78, ""product_id"": 293, ""quantity"": 4}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:30:01"", ""order_id"": 14261, ""store_id"": 75, ""product_id"": 68, ""quantity"": 9}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:04:01"", ""order_id"": 4643, ""store_id"": 100, ""product_id"": 642, ""quantity"": 5}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:13:01"", ""order_id"": 388, ""store_id"": 79, ""product_id"": 474, ""quantity"": 10}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:20:01"", ""order_id"": 5911, ""store_id"": 82, ""product_id"": 910, ""quantity"": 8}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:21:01"", ""order_id"": 5911, ""store_id"": 89, ""product_id"": 185, ""quantity"": 1}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:17:01"", ""order_id"": 5911, ""store_id"": 37, ""product_id"": 930, ""quantity"": 7}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:40:01"", ""order_id"": 4561, ""store_id"": 29, ""product_id"": 150, ""quantity"": 3}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:51:01"", ""order_id"": 4561, ""store_id"": 72, ""product_id"": 43, ""quantity"": 10}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:14:01"", ""order_id"": 4561, ""store_id"": 6, ""product_id"": 564, ""quantity"": 9}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 19:14:01"", ""order_id"": 9953, ""store_id"": 6, ""product_id"": 406, ""quantity"": 8}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:48:01"", ""order_id"": 9953, ""store_id"": 59, ""product_id"": 1012, ""quantity"": 6}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:56:01"", ""order_id"": 6607, ""store_id"": 16, ""product_id"": 872, ""quantity"": 8}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:22:01"", ""order_id"": 6951, ""store_id"": 18, ""product_id"": 797, ""quantity"": 10}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:55:01"", ""order_id"": 6951, ""store_id"": 83, ""product_id"": 132, ""quantity"": 1}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:21:01"", ""order_id"": 12381, ""store_id"": 15, ""product_id"": 835, ""quantity"": 2}","2025-04-20 19:20:01"
"scheduled__2025-04-20T18:20:00+00:00","sales_event","{""sale_date"": ""2025-04-20 18:39:01"", ""order_id"": 12381, ""store_id"": 1, ""product_id"": 698, ""quantity"": 4}","2025-04-20 19:20:01"
